,state,city_or_county,address,latitude,longitude
217961,Illinois,Chicago,2200 block of S Cermak Ave,41.85,-87.8424
217962,Illinois,Maywood,300 N 5th Ave,41.8904,-87.8394
217963,Illinois,Chicago,4100 W Division St,41.9028,-87.7293
217964,Illinois,Chicago,800 N Homan Ave,41.8955,-87.7114
217966,Illinois,Chicago,7300 S Damen Ave,41.7606,-87.6735
218005,Illinois,Chicago,6200 block of S Indiana Ave,41.7818,-87.6209
218078,Illinois,Springfield,600 N Stephens Ave,39.8081,-89.6136
218084,Illinois,Chicago,7100 S Cyril Ave,41.7652,-87.5773
218097,Illinois,Kankakee,500 E Locust St,41.1237,-87.859
218103,Illinois,Chicago,800 N Waller Ave,41.8948,-87.7678
218105,Illinois,Aurora,1100 block of Kane St,41.7563,-88.2888
218106,Illinois,Chicago,1200 S Fairfield Ave,41.8665,-87.6946
218138,Illinois,Chicago,200 West 37th St,41.8273,-87.6314
218173,Illinois,Chicago,3900 W Van Buren St,41.8754,-87.7231
218183,Illinois,Chicago Heights,1800 Chicago Rd,41.4988,-87.6402
218200,Illinois,Danville,1 block of Kentucky Street,40.1315,-87.5997
218218,Illinois,Chicago,2400 W 47th Pl,41.8075,-87.6844
218228,Illinois,Chicago,900 W Fullerton Ave,41.9255,-87.6512
218307,Illinois,Chicago,5200 N Washtenaw Ave,41.9758,-87.6965
218312,Illinois,Centralia (Central City),113 W Green St,38.5473,-89.1296
218365,Illinois,Chicago,3200 N Lake Shore Dr,41.9423,-87.6396
218379,Illinois,Madison,Washington Ave and 4th St,38.6804,-90.1558
218388,Illinois,Chicago,4500 W Madison St,41.8807,-87.7385
218393,Illinois,Chicago,10500 S Normal Ave,41.7028,-87.6356
218398,Illinois,East Saint Louis,Cleveland Ave,38.6142,-90.1399
218405,Illinois,Caseyville,,38.6341,-90.014
218420,Illinois,Chicago,1900 W Augusta Blvd,41.8996,-87.6747
218422,Illinois,Chicago,I-55,41.848,-87.6239
218439,Illinois,Decatur,E Division St and N Main St,39.8584,-88.9562
218447,Illinois,Aurora,400 Sherman Ave,41.7309,-88.3164
218448,Illinois,Cicero,1400 S 61st Ave,41.8614,-87.7766
218449,Illinois,Chicago,3800 W Roosevelt Rd,41.8669,-87.6902
218450,Illinois,Chicago,1 E 47th St,41.8092,-87.626
218464,Illinois,Cicero,21st St and 58th Ct,41.8527,-87.7701
218472,Illinois,Chicago,9600 S Yale Ave,41.7194,-87.6299
218473,Illinois,Chicago,6900 S Prairie Ave,41.7693,-87.6186
218479,Illinois,Chicago,400 N Aberdeen St,41.889,-87.6546
218484,Illinois,Chicago,2800 N Kedzie Ave,41.932,-87.7074
218504,Illinois,Chicago,10700 S Langley Ave,41.6992,-87.6063
218506,Illinois,Chicago,2900 N Elston Ave,41.9341,-87.6908
218511,Illinois,Saint Anne,E 6000 S Rd,41.0348,-87.7452
218521,Illinois,Chicago,800 N Racine Ave,41.8967,-87.6575
218536,Illinois,Chicago,1200 W Leland Ave,41.9672,-87.6597
218543,Illinois,Chicago,2500 W Wellington Ave,41.9358,-87.6906
218610,Illinois,Rockford,3902 W Riverside Blvd,42.3153,-89.115
218623,Illinois,Jefferson (county),Nason Ln,38.2335,-88.9676
218634,Illinois,Aurora,S Ohio St and Harriet Ave,41.7475,-88.2911
218638,Illinois,Chicago,500 S Lockwood Ave,41.8739,-87.7575
218671,Illinois,Alton,Hazel St and Locust Ave,38.9121,-90.1537
218677,Illinois,Chicago,8700 S Cottage Grove Ave,41.7366,-87.6049
218689,Illinois,Freeport,1600 S Rawleigh Ave,42.2818,-89.6051
218693,Illinois,Chicago,3100 W 53rd St,41.7972,-87.7012
218717,Illinois,Chicago,4900 W Monroe St,41.8796,-87.7481
218752,Illinois,Chicago,1000 W 61st St,41.7833,-87.6498
218755,Illinois,Chicago,6600 S Paulina St,41.774,-87.6665
218782,Illinois,Chicago,S Lawndale Ave and W 13th St,41.8644,-87.7178
218785,Illinois,Chicago,1900 W Garfield Blvd,41.794,-87.6725
218806,Illinois,Chicago,2400 S Washtenaw Ave,41.8483,-87.6929
218831,Illinois,Chicago,7200 S Vincennes Ave,41.7636,-87.6289
218892,Illinois,Chicago,Dan Ryan Expwy,41.7981,-87.6317
218893,Illinois,Chicago,2700 block of E 78th St,41.7539,-87.5582
