,state,city_or_county,address,latitude,longitude
130609,Texas,Killeen,1300 block of Fox Creek Drive,31.0967,-97.7028
130624,Texas,Garland,4200 block of Mayflower Drive,32.864,-96.6099
130625,Texas,Killeen,Elms Road and Robinett Road,31.0979,-97.7867
130640,Texas,Dallas,2800 North St. Augustine Road,32.7593,-96.6569
130669,Texas,Houston,8751 Broadway,29.6623,-95.2767
130681,Texas,Laredo,3600 block of Galveston Street,27.5112,-99.4597
130712,Texas,Missouri City,1122 Buffalo Run,29.6141,-95.5114
130714,Texas,Corpus Christi,15400 block of Seamount Cay Court,27.5991,-97.23
130717,Texas,Austin,5800 block of Wellington Drive,30.3107,-97.6883
130740,Texas,San Angelo,1200 block of Tres Rios Drive,31.4492,-100.42
130772,Texas,Amarillo,4215 Canyon Drive,35.1703,-101.865
130783,Texas,Houston,8722 Richmond,29.7293,-95.5175
130789,Texas,Killeen,5300 block of Williamette Drive,31.0832,-97.7969
130792,Texas,Wimberley,Brookmeadow Drive,30.0297,-98.1067
130793,Texas,Austin,1000 block of Turtle Creek Boulevard,30.2049,-97.7891
130807,Texas,Houston,2000 block of Holcombe,29.706,-95.3901
130812,Texas,Van Zandt (county),I-20,32.5197,-95.6978
130816,Texas,Amarillo,100 block of Louisiana,35.2166,-101.872
130848,Texas,College Station,1300 block of Harvey Mitchell Pkwy S,30.5848,-96.3419
130849,Texas,Corpus Christi,300 block of State Highway 358,27.678,-97.2765
130857,Texas,San Antonio,800 block of North New Braunfels Avenue,29.429,-98.461
130861,Texas,San Antonio,800 block of Vanderbilt,29.3899,-98.4613
130862,Texas,Killeen,6200 block of Emille Drive,31.0677,-97.6842
130863,Texas,Amarillo,100 block of South Louisiana Street,35.2166,-101.872
130864,Texas,Killeen,1300 block of Greenwood Avenue,31.1184,-97.7188
130865,Texas,Killeen,38th Street and Lake Road,31.1238,-97.6963
130868,Texas,Killeen,Roy Reynolds Drive,31.0896,-97.6737
130967,Texas,Corpus Christi,3750 Cimarron Boulevard,27.6664,-97.3771
130969,Texas,Lubbock,5000 block of West Loop 289,33.5483,-101.938
130970,Texas,El Paso,5600 block of Paisano,31.7742,-106.423
130971,Texas,Fort Worth,5300 block of Conroy,32.6679,-97.3114
130985,Texas,Amarillo,,35.206,-101.841
131012,Texas,Eastland,1300 block of Young Street,32.4669,-98.6632
131013,Texas,Dallas,1400 block of Northwest Highway,32.8631,-96.6446
131060,Texas,George West,I-37 and Highway 59,28.3376,-98.028
131066,Texas,Amarillo,2501 N Coulter St,35.2368,-101.914
131067,Texas,Denton,6400 block of Saddleback Drive,33.1495,-97.0998
131070,Texas,El Paso,14500 block of Spanish Point,31.7938,-106.215
131071,Texas,Austin,5800 block of Sweeney Circle,30.3049,-97.6799
131075,Texas,Corpus Christi,4000 block of Violet Road,27.8407,-97.5921
131131,Texas,San Antonio,100 block of North Sabinas Street,29.4275,-98.52
131139,Texas,Houston,15100 block of Alkay,29.6171,-95.4286
131157,Texas,Wichita Falls,100 block of Lee,33.9214,-98.4931
131196,Texas,Austin,13000 block of U.S. 183,30.4373,-97.7773
131203,Texas,Dallas,2000 block of Northwest Highway,32.864,-96.6578
131282,Texas,Beaumont,1900 block of Gilbert Street,30.069,-94.1082
131312,Texas,El Paso,11510 Cheryl Ladd Court,31.7646,-106.297
131355,Texas,Houston,781 Country Place Drive,29.7701,-95.6001
131359,Texas,Abilene,1300 block of Sammons Street,32.4332,-99.7604
131363,Texas,Houston,12802 Shannon Hills Drive,29.6812,-95.6069
131420,Texas,Amarillo,5900 block of Plum Creek Drive,35.2204,-101.904
131437,Texas,San Antonio,Ray Ellison Drive,29.3689,-98.644
131447,Texas,Abilene,4025 North 1st Street,32.4523,-99.7714
131450,Texas,San Antonio,8800 block of Village Drive.,29.5199,-98.4272
131470,Texas,Corpus Christi,5200 block of Silverberry Drive,27.738,-97.4368
131482,Texas,Corpus Christi,1400 block of Sixteenth Street,27.7771,-97.4094
131502,Texas,Plainview,,34.1922,-101.722
131510,Texas,Beaumont,,30.0726,-94.1052
131523,Texas,San Antonio,7300 block of Hanzi Drive,29.3539,-98.4462
131537,Texas,Houston,5500 block of West Ridgecreek Drive,29.5955,-95.4672
131539,Texas,Mckinney,2800 block of High Pointe Boulevard,33.2287,-96.6446
131540,Texas,Bexar (county),Montgomery Drive and New World Drive,29.5109,-98.357
131542,Texas,Fort Worth,800 block of Boca Hills Circle,32.7671,-97.2278
131551,Texas,San Antonio,4300 block of Seabrook Drive,29.4336,-98.4108
131597,Texas,Coleman,,31.8272,-99.427
